Hisse Senedi,Tarih,Oran,http://www.ekinvest.com/Site/hisseler/Temettu 01/01/2013-31/12/2015
HDFGS,10.04.2015,1.01
DOAS,9.04.2015,1.05
SODSN,8.04.2015,1.03
AKSGY,7.04.2015,1.05
HALKB,7.04.2015,1.01
KCHOL,7.04.2015,1.02
ULKER,7.04.2015,1.01
ACSEL,6.04.2015,1.39
AYGAZ,6.04.2015,1.04
DOBUR,6.04.2015,1.2
TCELL,6.04.2015,1.15
BFREN,3.04.2015,1.03
TOASO,3.04.2015,1.06
AKSA,2.04.2015,1.07
OTKAR,2.04.2015,1.04
SANEL,2.04.2015,1.15
AKCNS,1.04.2015,1.07
ALBRK,1.04.2015,1.02
ARCLK,1.04.2015,1.04
ARENA,1.04.2015,1.04
FROTO,1.04.2015,1.02
ISATR,1.04.2015,1
ISBTR,1.04.2015,1
ISCTR,1.04.2015,1.03
ISKUR,1.04.2015,1
KOZAL,1.04.2015,1.04
SANFM,1.04.2015,1.25
SAHOL,31.03.2015,1.01
AKBNK,30.03.2015,1.02
CIMSA,30.03.2015,1.09
TSKB,30.03.2015,1.03
YKBNK,30.03.2015,1.02
YUNSA,30.03.2015,1.1
ANHYT,27.03.2015,1.03
ARSAN,26.03.2015,1.2
FMIZP,26.03.2015,1.04
ISFIN,26.03.2015,1.03
ISMEN,26.03.2015,1.12
IZOCM,26.03.2015,1.07
ANSGR,25.03.2015,1.03
BRISA,25.03.2015,1.05
CARFA,25.03.2015,1.02
CARFB,25.03.2015,1.02
ISGYO,25.03.2015,1.04
TKNSA,25.03.2015,1.02
TTRAK,25.03.2015,1.05
AKGRT,24.03.2015,1.04
AVISA,24.03.2015,1.03
ISYAT,24.03.2015,1.2
PAGYO,24.03.2015,1.11
POLTK,24.03.2015,1.03
ISGSY,20.03.2015,1.07
VERUS,20.03.2015,1.01
YONGA,20.03.2015,1.01
SKBNK,27.02.2015,1.04
BURVA,6.02.2015,1.17
FRIGO,3.02.2015,0.19
AKFEN,22.01.2015,0.9
ETYAT,12.01.2015,1.42
GEREL,7.01.2015,1.05
TSPOR,7.01.2015,2.32
ORGE,5.01.2015,1.82
EUYO,25.12.2014,1.49
ERBOS,15.12.2014,1.02
MRDIN,8.12.2014,1.09
ADANA,5.12.2014,1.08
ADBGR,5.12.2014,1.08
ADNAC,5.12.2014,1.06
ASLAN,5.12.2014,1.01
ATPET,28.11.2014,2.04
HEKTS,28.11.2014,1.08
DGZTE,19.11.2014,1.06
VKFYO,12.11.2014,1
FROTO,4.11.2014,1.02
KUTPO,31.10.2014,1.01
ADESE,27.10.2014,3
BIMAS,15.10.2014,1.01
TUKAS,8.10.2014,1
GEDIK,2.10.2014,1.2
KAREL,2.10.2014,1.08
BOSSA,30.09.2014,1.04
AKGUV,23.09.2014,1.02
SAFGY,22.09.2014,1.09
KLMSN,12.09.2014,1.1
BAGFS,8.09.2014,4.63
KOZAL,3.09.2014,1.04
KRDMA,3.09.2014,1.08
KRDMB,3.09.2014,1.08
KRDMD,3.09.2014,1.08
DOHOL,2.09.2014,1
ENKAI,15.08.2014,1.02
GLYHO,1.08.2014,0.91
AKGUV,31.07.2014,1.17
FINBN,31.07.2014,1.05
SRVGY,17.07.2014,1.01
ANACM,14.07.2014,1.07
DOCO,7.07.2014,1.02
LKMNH,7.07.2014,1.5
TRKCM,7.07.2014,1.04
RYGYO,2.07.2014,1.11
ISFIN,1.07.2014,1.09
PETKM,1.07.2014,1.02
SISE,1.07.2014,1.08
SODA,1.07.2014,1.1
AKSGY,30.06.2014,1.39
CEMTS,30.06.2014,1.02
LKMNH,30.06.2014,1.01
PRKME,30.06.2014,1.09
HALKS,26.06.2014,1.34
ANHYT,25.06.2014,1.09
ETYAT,25.06.2014,1.01
UNYEC,20.06.2014,1.08
EGSER,11.06.2014,1.08
GEDIK,9.06.2014,1.06
SKBNK,9.06.2014,1.07
ISGSY,6.06.2014,1.12
ISMEN,6.06.2014,1.07
TRGYO,6.06.2014,1.02
HLGYO,5.06.2014,1.03
VANGD,5.06.2014,1.19
KRATL,3.06.2014,1
ASCEL,2.06.2014,1.01
AYES,2.06.2014,1.06
BTCIM,2.06.2014,1.01
ROYAL,2.06.2014,1.06
ADEL,30.05.2014,1.05
ALARK,30.05.2014,1.01
ALCAR,30.05.2014,1.03
ALGYO,30.05.2014,1.02
ALKIM,30.05.2014,1.03
ANACM,30.05.2014,1.04
ARMDA,30.05.2014,1.11
ASELS,30.05.2014,1.01
ASUZU,30.05.2014,1.11
BRSAN,30.05.2014,1.02
EMBYO,30.05.2014,1.02
EUKYO,30.05.2014,1
EUYO,30.05.2014,1.02
GENTS,30.05.2014,1.05
GUBRF,30.05.2014,1.05
KUYAS,30.05.2014,1.02
ORMA,30.05.2014,1.01
PETUN,30.05.2014,1.08
PNSUT,30.05.2014,1.06
SARKY,30.05.2014,1.07
SISE,30.05.2014,1.02
SODA,30.05.2014,1.03
TRKCM,30.05.2014,1.02
VAKBN,30.05.2014,1.01
VKGYO,30.05.2014,1
YAZIC,30.05.2014,1.01
GOLTS,29.05.2014,1.04
NUHCM,29.05.2014,1.04
BASCM,28.05.2014,1.04
BSOKE,28.05.2014,1.03
CCOLA,28.05.2014,1.01
KONYA,28.05.2014,1.01
TMSN,28.05.2014,1.03
TTKOM,28.05.2014,1.04
AKMGY,27.05.2014,1.07
DESPC,27.05.2014,1.1
INDES,27.05.2014,1.01
POLTK,27.05.2014,1.03
YGGYO,27.05.2014,1.08
ALKA,26.05.2014,1.08
BIZIM,26.05.2014,1.02
EKGYO,26.05.2014,1.04
EREGL,26.05.2014,1.08
TRCAS,26.05.2014,1.02
ISGYO,22.05.2014,1.08
BIMAS,21.05.2014,1.01
ENKAI,21.05.2014,1.13
GRNYO,20.05.2014,1.02
MCTAS,20.05.2014,1.02
YAPRK,20.05.2014,1.01
MEPET,16.05.2014,1.37
AKFEN,15.05.2014,1.01
SELEC,14.05.2014,1.02
TSKB,14.05.2014,1.15
ATAGY,12.05.2014,1.02
KLNMA,9.05.2014,1.01
ECZYT,7.05.2014,1.02
ECILC,6.05.2014,1.05
GOODY,6.05.2014,1.09
CRDFA,3.05.2014,1.1
SANEL,2.05.2014,1.06
VESBE,2.05.2014,1.04
VKGYO,2.05.2014,1.36
AKPAZ,30.04.2014,1.01
BRYAT,30.04.2014,1.04
GOZDE,28.04.2014,2.1
EGEEN,25.04.2014,1.07
KSTUR,25.04.2014,1
GARAN,21.04.2014,1.01
YBTAS,18.04.2014,1.02
JANTS,17.04.2014,1.03
POLHO,17.04.2014,1.01
