SKBNK;1.0437;20150227
VERUS;1.0096;20150320
YONGA;1.011;20150320
ISGSY;1.0653;20150320
ISYAT;1.2;20150324
AVISA;1.0251;20150324
AKGRT;1.0362;20150324
PAGYO;1.1076;20150324
POLTK;1.0257;20150324
TTRAK;1.0473;20150325
TKNSA;1.0193;20150325
ANSGR;1.0301;20150325
BRISA;1.0521;20150325
CARFA;1.0194;20150325
CARFB;1.021;20150325
ISGYO;1.0435;20150325
ISMEN;1.1177;20150326
ISFIN;1.0306;20150326
IZOCM;1.0671;20150326
FMIZP;1.0398;20150326
ARSAN;1.2;20150326
ANHYT;1.0332;20150327
AKBNK;1.0168;20150330
CIMSA;1.0851;20150330
TSKB;1.026;20150330
YUNSA;1.1038;20150330
YKBNK;1.0224;20150330
SAHOL;1.0108;20150331
SANFM;1.25;20150401
AKCNS;1.0726;20150401
ALBRK;1.0241;20150401
ARENA;1.0434;20150401
ARCLK;1.0363;20150401
FROTO;1.0175;20150401
KOZAL;1.0365;20150401
ISBTR;1.0001;20150401
ISATR;1;20150401
ISKUR;1.0001;20150401
ISCTR;1.0281;20150401
AKSA;1.0729;20150402
SANEL;1.1501;20150402
OTKAR;1.0354;20150402
TOASO;1.0621;20150403
BFREN;1.0322;20150403
DOBUR;1.2035;20150406
AYGAZ;1.0355;20150406
ACSEL;1.3945;20150406
TCELL;1.1519;20150406
ULKER;1.0135;20150407
AKSGY;1.0456;20150407
KCHOL;1.0162;20150407
HALKB;1.0135;20150407
SODSN;1.0278;20150408
DOAS;1.0467;20150409
DGZTE;1.1154;20150410
HDFGS;1.0053;20150410
ENKAI;1.015;20150414
KSTUR;1.0258;20150420
CRDFA;1.227;20150420
HLGYO;1.008;20150421
POLHO;1.0124;20150422
YBTAS;1.0224;20150424
ECBYO;1.062;20150427
EGEEN;1.0401;20150427
GARAN;1.0153;20150427
BUCIM;1.0357;20150428
BLCYT;1.056;20150428
AKFEN;1.0117;20150428
DITAS;1.0695;20150429
CLEBI;1.0653;20150430
GEDIK;1.0442;20150430
HALKS;1.1405;20150430
ULUUN;1.0264;20150430
VESBE;1.0448;20150504
SILVR;1.0229;20150504
TAVHL;1.0371;20150505
ECILC;1.0295;20150505
ECZYT;1.0103;20150506
ENKAI;1.1107;20150506
JANTS;1.0329;20150506
SELEC;1.0221;20150506
SANEL;1.0371;20150508
GOODY;1.0112;20150512
CELHA;1.0656;20150515
EGGUB;1.007;20150518
ISGYO;1.0958;20150520
